Номер	Слово	Номер урока	Перевод 1	Перевод 2	Перевод 3
2867	감옥		Тюрьма		
2870	결혼식		Свадьба		
2871	계산기		Калькулятор		
2872	광장		Открытое пространство или площадь		
2873	그렇지		"Так что; это правильно"		
2875	꽉		Плотно или быстро		
2881	댐		Плотина		
2882	덩어리		Скопление, кластер		
2883	모처럼		В конце концов		
2884	물리학		Физика		
2885	벌		Наказание		
2886	부정적		отрицательный, противоречащие чему-то, не положительное		
2887	북부		Северная часть		
2888	분리		разделение, сегрегация		
2889	상당		собственный, нужный, подходящий		
2891	소개		Введение		
2892	수화기		Телефонная трубка		
2893	애인		Любовник		
2894	애초		Во-первых, начало		
2896	양념		Специи и приправы		
2899	오해		Недоразумение		
2900	웬일		какая причина		
2901	의식		Церемония		
2903	일기		Дневник, журнал		
2904	절대		Безусловность		
2907	창고		Склад		
2908	채		"Тем не менее; еще не"		
2910	청춘		молодость, весна жизни		
2911	초반		Открытие игры (из игры бадук)		
2912	트럭		Грузовик		
2913	파		Лук (овощ)		
2916	학번		Год окончания (университета)		
2917	학원		Обучающий институт		
2918	허가		Разрешение		
2920	가장		Глава домохозяйства		
2921	곡		"Мелодия; воздух"		
2922	곡식		"Зерновые; зерно"		
2925	무리		Компания, группа		
2926	버터		Масло		
2928	보편적		Универсальный		
2929	부품		Запчасти, аксессуары		
2932	상담		Консультация		
2933	서부		Западная часть		
2934	속담		Пословица, фраза		
2935	시중		В городе		
2936	심사		Решение, экспертиза		
2937	아이		Боже мой!		
2940	유치원		Детский сад		
2941	의욕		воля, желание		
2942	인근		Окрестности		
2943	일반인		Широкая общественность		
2945	전공		Специальность		
2946	정기		Фиксированный период времени		
2947	제의		Предложение		
2948	종일		Весь день, в течение всего дня		
2950	차림		Внешний вид одежды или износ одежды		
2952	추위		Холодный		
2953	토마토		Помидор		
2956	하드웨어		Аппаратное обеспечение		
2957	화장		Косметический уход		
2959	감자		Картофель		
2963	교통사고		Дорожное происшествие		
2964	군데		Место		
2965	메시지		Сообщение		
2969	빛깔		Цвет, оттенок		
2970	뺨		Щека		
2971	사방		Четыре направления		
2972	살림		жизнь, средства к существованию		
2973	실현		реализация, материализация		
2974	아냐		Нет		
2975	연예인		Исполнитель, артист		
2976	영원히		Навсегда		
2977	월급		Месячная зарплата		
2978	유행		Мода		
2979	이내		в ближайшее время, сразу		
2980	이리		Таким образом, в этом направлении		
2981	제발		любезно, пожалуйста		
2982	차츰		постепенно, шаг за шагом		
2983	투표		Голосование		
2985	하느님		Бог		
2987	홀로		Один, по себе		
2988	가까이		Близко		
2990	각자		Каждый из		
2991	감히		Смело		
2993	개미		Муравей		
2994	관습		Обычай или использование		
2995	광경		Зрелище или вид в 3D		
2996	금세		"В настоящее время; сразу"		
2999	명의		Имя, название		
3000	물고기		Рыба		
3003	부탁		Запрос, отдолжение		
3004	분량		количество, мера		
3005	불과		Только, не более		
3007	상자		Коробка, кейс		
3008	새해		Новый год		
3010	수없이		Быть не в состоянии сделать		
3011	승진		продвижение		
3012	양		Оба		
3013	얼음		Лед		
3014	열매		Фрукты		
3016	점수		знаки, количество знаков		
3020	쭉		Все время		
3021	통장		Чековая книжка		
3023	하도		Слишком, очень		
3024	한창		Высота, вершина, верх		
3025	해안		Побережье, берег		
3026	호박		Тыква		
3027	흑인		Негр		
3028	간		Печень		
3031	경기장		Спортивный стадион или спортивное поле		
3032	고장		Сломанный		
3033	근로		Труд или напряжение		
3034	눈동자		Ученик		
3037	도시락		Закуска, обед		
3038	몸짓		Жест		
3040	부회장		Вице-президент		
3044	스튜디오		Студия		
3045	실제		Правда, тот факт,		
3046	요새		Недавно, в последнее время		
3047	이상적		Ненормальный		
3048	일쑤		Привычная практика		
3049	일체		Все, все, вся		
3050	자꾸만		Неоднократно		
3052	절망		отчаяние, безнадежность		
3055	주방		Кухня, варочный цех		
3057	짜증		Раздражение		
3058	첫날		Первый день		
3062	경력		личная история		
3065	공중		"Воздух; небо"		
3066	공해		Загрязнение окружающей среды		
3071	대다수		Большинство		
3073	먹이		Еда		
3074	무		Редис		
3075	무료		Бесплатно		
3077	발레		Балет		
3084	여럿		"много; много людей"		
3085	연설		Публичное выступление		
3086	연필		Карандаш		
3087	염려		тревога, беспокойство		
3089	운전		Вождение		
3091	일자		Дата, количество дней		
3092	잔치		банкет, праздник		
3096	칸		Пустое пространство		
3097	한		Обида, злоба		
3098	갈수록		Как один идет вдоль		
3099	갖가지		Разнообразие, все сорты		
3101	관광객		Турист		
3103	국		Суп или бульон		
3104	다행		Удачи		
3105	마무리		Отделка, завершение		
3107	막상		Действительно, на самом деле		
3108	몸통		Ствол, корпус		
3109	못		Ногти		
3111	미술관		Музей изобразительного искусства		
3114	볼		Щека		
3115	부분적		Ведомственный		
3116	불고기		Жаркое, жаренное мясо		
3118	불행		Несчастье		
3119	비명		Крик		
3120	순수		чистота, искренность		
3121	시각		Время суток		
3122	실질적		существенное, важное		
3123	안개		Туман		
3124	여름철		Летнее время		
3125	오로지		Только исключительно, исключительно		
3127	이런저런		Тот и другой		
3128	임무		Долг, обязанность задача		
3129	자연히		Естественно		
3130	장난		Игра		
3131	저런		Такой, такого вида, подобный		
3132	전용		Эксклюзивный или частный		
3133	지극히		очень		
3135	확정		Решение, поселение		
3136	가상		Воображение		
3137	각자		Каждый		
3138	간혹		Иногда, порой		
3141	국산		Народный продукт, свой продукт		
3142	그해		Этот год		
3144	꼭대기		Вершина		
3146	도		Дорога		
3147	마이크		Майк		
3149	면적		площадь, размеры		
3150	목욕		Ванна		
3151	반성		Отражение		
3152	벌떡		Вдруг, резко		
3153	보상		Компенсация		
3155	빚		Долг		
3157	서민		Обычные люди		
3158	석		Место, сиденье		
3161	소수		Небольшое количество, несколько		
3162	쇼		Шоу		
3163	수학		Математика		
3164	시어머니		Теща		
3165	시집		Дом семьи мужа, дом тещи		
3166	연간		В течение года		
3167	영화제		Фестиваль кино		
3169	용도		Использование, обслуживание		
3170	의심		Сомнения		
3173	재빨리		быстро		
3175	전화번호		Номер телефона		
3177	조정		Регулирование, контроль, координация		
3180	확장		расширение, увеличение		
3182	건조		Сухость или засушливость		
3184	그대		Ты		
3187	기둥		Столп, колонна		
3192	도덕		Безнравственность		
3193	뒷모습		Особенности задней стороне		
3194	만		десять тысяч		
3198	사무소		Офис		
3199	사촌		двоюродный брат		
3200	상		Приз		
3201	상인		купец, торговец		
3203	소원		желание		
3208	유적		Остатки, реликвии, руины		
3209	일생		жизнь, время жизни		
3212	정보화		Информатизация		
3213	종종		Разнообразие вещей		
3214	지갑		Кошелек, бумажник		
3216	창작		Создание, возникновение		
3217	축소		Сокращение		
3218	취향		Вкус, нрав, наклонности		
3220	카운터		Касса, стойка для оплаты		
3222	하숙집		Общежитие, пансионат		
3223	학급		Класс (в школе)		
3224	해군		Флот		
3225	효율적		фактор утилизации, эффективность		
3226	가슴속		сердечные чувства		
3227	간		Соленый вкус, соленость		
3228	간판		Вывеска		
3231	괴로움		Беда, рздражение, дистресс		
3233	금액		Количество денег		
3234	다행히		К счастью		
3237	맘		Сердце		
3239	명절		Дни фестиваля		
3241	바이올린		Скрипка		
3244	비행		Полет, авиация		
3247	수명		Продолжительность жизни		
3248	시즌		Сезон		
3251	예감		Предчувствие, предчувствие		
3252	음식물		Сьестное, еда		
3253	자신감		Самоуверенность		
3254	죄인		Преступник		
3256	준비물		Вещи, которые необходимо подготовить		
3257	천		Ткань, тканые вещи		
3258	출입		Приход и уход		
3259	쾌감		Приятное ощущение, хорошее чувство		
3260	탄생		Рождение		
3262	하필		Из всех, из всего		
3263	활용		Практическое использование		
3264	회색		Серый		
3265	거액		Большая сумма денег		
3266	고교		Старшая школа		
3268	곧잘		"справедливо, очень хорошо; часто, слишком часто"		
3269	골짜기		Долина или ущелье		
3270	교훈		Назидания, указания		
3272	글씨		"Почерк; письмо или иероглиф или символ"		
3273	노래방		Комната для пения		
3274	단편		Кусок, фрагмент		
3277	머리카락		Волос с головы		
3279	발걸음		Походка, шаг		
3280	발길		"Пинок; шаг"		
3281	벌레		Ошибка		
3283	생산자		Производитель		
3284	선진		стаж, старшинство, преимущество		
3285	성인		Взрослый человек		
3286	소매		"втулка, рукав; розничная торговля"		
3287	시멘트		Цемент		
3288	신규		"Новые правила, новый проект, большое обновление; работа, которая делается заново"		
3290	실은		В действительности, по правде		
3291	심판		привязка, ссылка		
3293	양심		Совесть		
3294	이사장		Директор		
3295	이자		Интерес		
3298	저거		Вон та штука		
3299	저축		Сбережения		
3300	제비		Ласточка		
3301	제안		Предложение		
3303	증세		Симптомы, состояние пациента		
3304	지난날		Старые дней, старые времена		
3305	진급		Продвижение		
3306	콩나물		Фасолевый суп		
3308	표준		Стандарт, норма, критерии		
3309	항구		Порт, гавань		
3310	허용		Разрешение		
3311	헬기		Вертолет		
3312	간신히		Узко или едва		
3316	거짓		Фабрикация или вымысел		
3317	거품		Пузырь		
3319	공군		Военно-воздушные силы		
3320	기술자		Техник		
3321	나물		Целебные травы		
3322	년생80		Год рождения		
3323	달리기		Бежать, вращаться		
3324	대도시		Большой город		
3325	도둑		Вор, грабитель		
3326	도전		Вызов, неповиновение		
3327	면		Подразделение округа		
3328	모자		Шляпа		
3329	보조		помощь		
3331	불편		Неудобство		
3333	사과		Извинение		
3335	소파		Диван		
3337	수면		сон		
3338	수천		Тысячи		
3339	스무		Двадцать		
3340	승부		Конкурс, матч		
3341	시기		Время, сезон		
3342	신념		вера		
3343	신입생		Новый студент		
3344	어린아이		Мальчик, ребенок		
3345	어쩐지		"Как-то, странным образом; в сочетании с окончанием дает основания поставить акцент на действии глагола"		
3346	여간		Некоторые из них, немного		
3347	역		Железнодорожная станция, железнодорожный склад		
3349	영향력		Влияние, власть		
3350	예의		Вежливость, учтивость		
3351	이내		включительно, меньше		
3352	이리저리		Таким образом, и что, тут и там		
3353	인간적		Личный		
3355	임금		Король, правитель, государь		
3357	재능		талант, способность		
3359	파출소		Маленький полицейский участок		
3360	판		Доска		
3361	한문		Китайское письмо, китайская классика		
3363	결승		Решение в заключительном туре конкурса		
3364	공공		Общественный, общий		
3365	교양		Культура или образование		
3366	국왕		Король или монарх		
3367	규칙적		БЫть регулярным, систематическим		
3368	극복		Завоевание или покорение		
3369	글쎄요		"Сейчас; хорошо; дайте мне посмотреть"		
3371	냉동		Охлаждение		
3373	대개		Главным образом, по большей части		
3374	배추		Китайская капуста		
3375	센터		Центр		
3376	수염		Борода		
3378	승객		Пассажир		
3380	아아		Ой-ой!		
3382	여권		Паспорт		
3383	열쇠		Запереть		
3384	오렌지		Апельсин		
3385	외모		Внешний вид		
3386	인공		Искусство, мастерство		
3387	잠자리		Кровать		
3388	장남		Старший сын		
3390	전국적		Национальный		
3391	전반		В целом, все, вообще		
3392	제자리		Собственное место		
3394	척		Несколько кораблей		
3395	포도주		Вино из винограда		
3396	학술		Наука, обучение		
3397	혈액		Кровь		
3398	화살		Стрелка		
3399	화재		Огонь, пламя		
3401	각각		Каждый		
3402	간격		Пространство или интервал		
3403	고함		Крик		
3405	그놈		Тот человек или тот парень		
3409	노선		Маршрут		
3410	답		Ответ		
3411	대사		Речь, диалог		
3413	독서		Чтение		
3414	땅속		Почва, в почве		
3415	벌금		Штраф		
3416	복		удача, счастье		
3417	봉사		Услуги, обслуживание		
3418	부서		пост, долг		
3419	성		замок, крепость		
3420	소형		Маленький размер		
3421	신인		Новый человек		
3422	악몽		Кошмар		
3423	안내		Руководство, проведение		
3424	앞뒤		До, позади		
3425	언덕		Холм		
3426	열정		Страсть		
3427	오페라		Опера		
3428	입맛		Аппетит, вкус		
3429	재즈		Джаз		
3431	절대		Безусловность		
3432	접시		Плита, блюдо		
3433	제공		Предложение		
3435	참가		Участие, присоединение		
3436	체중		Масса тела		
3437	추석		Корейский день благодарения		
3438	충돌		"Столкновение, столкновение; разлад"		
3439	통로		Проезд, путь, проход		
3440	포장		упаковка, обертка		
3441	해소		Растворение, дезорганизация		
3442	현관		Крыльцо, вход		
3443	현대인		Современный человек		
3444	혜택		Одолжение, польза		
3445	호수		Озеро		
3446	확		С порывом		
3448	골고루		Равномерно или среди всех без разбора		
3449	구석구석		Каждый укромный уголок и закуток		
3450	그제서야		Затем		
3451	껌		Жевачка		
3452	녹색		Зеленый		
3453	막내		Младший		
3455	발전		Создание электроэнергии		
3456	방해		Препятствиее, помеха		
3457	번호		Число		
3458	벼		Рисовая ферма		
3459	본인		Лицо с сомнительной репутацией		
3460	상점		Магазин		
3461	수백		Сотни		
3462	실장		босс, президент		
3464	악수		Рукопожатие		
3465	애		Смуты, проблемы, заботы		
3469	이중		повторение, удвоение		
3470	인원		Количество лиц		
3472	인터뷰		Интервью		
3474	자랑		Гордость		
3475	저것		Вон то		
3476	정문		Передние ворота, главный вход		
3477	착각		Галлюцинация, иллюзия		
3478	창		Окно		
3479	친정		дом и семья родителей жены		
3481	타입		Тип		
3482	팩		Пакет		
3485	활짝		широко		
3487	개별		Личный или частный случай		
3488	공식적		Формальное, процедурный		
3489	그런대로		"Такие, как он есть; в любом случае"		
3490	기독교		Христианство		
3491	깨달음		Реализация		
3495	단점		Слабое место		
3497	목록		Каталог		
3500	별명		прозвище, псевдоним		
3501	보전		сохранение		
3504	수박		Арбуз		
3505	스위치		Переключатель		
3506	신세		задолженность, обязательство		
3508	암		Рак		
3509	야단		"шум; выговор"		
3510	얘		Да		
3511	엔		Иена (японская валюта)		
3512	연결		Подключение, связывание		
3513	연관		подключение, группирование, отношения		
3515	우정		Чувство дружбы		
3516	육군		Армия		
3517	음식점		Ресторан		
3519	인분		Число порций в ресторане		
3521	죽		Рисовая каша		
3522	차마		Для всего мира		
3523	참조		ссылка, сравнение		
3524	첫째		Первый		
3527	행사		Использование, упражнения		
3528	향수		Духи		
3530	가입		Вход		
3531	가정		Предположение		
3532	과자		Закуски или выпечка или конфеты		
3533	교체		Сдвиг, изменение или альтернатива		
3534	김		Морские водоросли, умывальник		
3535	꼬마		Карлик		
3536	끝없이		Безгранично		
3542	대학교		Университет		
3543	도로		Вернуться, так же, как когда-либо, так же, как это было раньше		
3544	막걸리		Слегка горьковатый напиток соджу		
3546	미스		Мисс		
3548	밥그릇		Чаша с рисом		
3549	방문		Дверь в комнату		
3552	불꽃		пламя, искры		
3553	상대성		Относительность		
3554	설문		вопросы из вопросника		
3555	소설가		Романист		
3557	안녕히		Мирно		
3558	안팎		Интерьер и экстерьер, обе стороны		
3560	올		Следующий (год, неделя)		
3562	유학		Конфуцианство		
3564	인하		снижение, понижение		
3565	작성		"редактирование, составление; заполнение формы"		
3567	전달		Доставка		
3568	전시회		Выставка, шоу		
3571	정치학		Политическая наука		
3572	좌석		Сиденье		
3573	주문		Ордер, запрос		
3574	집안일		Работа по дому		
3575	체계적		Систематическая, организационная		
3576	출근		Хождение на работу		
3577	크림		Крем		
3579	텅		Полый		
3581	푹		Полностью, полностью		
3582	한순간		Один миг		
3583	가사		Слова или текст		
3584	가입자		Участник или абонент		
3586	개구리		Лягушка		
3587	결과적		Результативный		
3589	구별		Различие или разделение		
3591	끈		Строка или шнур		
3595	두어		Около двух, пара		
3596	마약		Препарат, лекарство		
3597	밑바닥		Низ, база		
3599	보리		Ячмень		
3600	본부		Штаб-квартира		
3601	부		богатство		
3603	소극적		Пассивность		
3604	소용		Использование, полезность		
3606	수건		Носовой платок		
3607	순식간		Краткий миг		
3608	시도		Попытка, тест		
3609	시집		Сборник стихов		
3610	아무개		Господин так и так-то		
3611	약점		Слабое место, уязвимое место		
3612	양복		Западноевропейский стиль одежды		
3613	어째서		По какой причине, почему это		
3615	여		Женщина, девушка		
3616	연령		Возраст, лет		
3617	예비		Подготовка, резервирование		
3618	울음소리		Звук плача		
3619	이놈		Это негодяй!		
3620	이력서		Биографическая справка, резюме (для работы)		
3623	젓가락		Палочки для еды		
3624	주년		Целый год		
3627	중심지		Центральное место		
3628	집중적		Связанные с концентрацией		
3630	초청		Приглашение		
3631	출판사		Издательство		
3632	탁자		Столик, письменный стол		
3633	토끼		Кролик		
3634	퍽		Очень, очень много		
3635	풍속		Поведение, обычаи, нравы		
3636	피아노		Пианино		
3637	핑계		Оправдание		
3638	한층		Более того, еще более		
3639	행운		Удачи		
3641	간섭		Вмешательство		
3642	갈증		Жажда		
3645	그래야		"И так; и поэтому"		
3646	기원		Происхождение		
3647	길가		Придорожный		
3648	난리		Война, восстание		
3649	남매		Брат и сестра		
3651	미사일		Ракета		
3652	발가락		Палец ноги		
3653	보존		Сохранение		
3657	상관		Концерн, отношение		
3660	세		Поколение, возраст, эпоха		
3663	안주		Закуски для алкоголя		
3664	어린애		Мальчик, ребенок		
3665	열기		Тепло, горячий воздух		
3666	옷차림		Платье, образ платья		
3668	이같이		"Как это; например, так"		
3669	인형		Кукла		
3670	일치		Соглашение, согласие		
3671	재생		Возрождение, восстановление жизни		
3672	전철		Электрическая железная дорога		
3674	철학자		Философ		
3676	컬러		Цвет		
3677	통화		Телефонный разговор		
3679	필연적		Необходимость, необходимо		
3680	하룻밤		Однажды ночью, одну ночь		
3682	가짜		Подделка		
3683	강도		Интенсивность или сила		
3684	곰		Медведь		
3685	급히		Быстро или в спешке		
3686	기념		Поминовение		
3689	매너		Манера		
3690	민속		Фольклор		
3692	빗물		Дождевая вода		
3693	사위		окружающая среда, окружение		
3694	설날		Новый год		
3696	손질		Обработка, уход		
3697	손톱		Ноготь		
3698	식빵		Хлеб		
3699	아르바이트		Неполная занятость		
3700	외로움		Одиночество		
3702	운전자		Водитель		
3703	유리창		Окно, в котором используется стекло		
3704	입대		Регистрация		
3705	적성		Способность		
3707	집단적		Коллектив людей		
3708	차이점		Точка различия		
3709	찬물		Холодная вода		
3710	철도		Железная дорога		
3711	총각		Бакалавр, неженатый мужчина		
3712	캠페인		Кампания		
3713	태풍		Тайфун		
3714	한눈		Взгляд		
3715	햇볕		Солнечные лучи, солнечный свет		
3716	홍수		Наводнение, затопление		
3717	가뭄		Засуха		
3718	간접		Косвенность		
3719	강력히		С большой прочностью или силой		
3722	게		Краб		
3723	결심		Определение или постановление		
3724	곧장		"Прямо; сделать что-то сразу, прямо"		
3725	교직		Профессия учителя		
3730	기사		Техник		
3731	기숙사		Хостел или общежитие		
3732	나뭇잎		Листья дерева		
3736	단독		Независимость		
3737	마당		Экземпляр, случай		
3738	마음껏		Столько, сколько вы хотите		
3740	미팅		Встреча		
3741	바		Бар		
3742	바퀴		Колесо		
3743	발자국		След		
3746	보너스		Бонус		
3747	산책		Ходьба, прогулка		
3748	생기		анимация, жизнь		
3749	서적		книги, публикации		
3750	소화		Пищеварение		
3751	수험생		Студент, который готовится к экзамену		
3753	신세대		Новое поколение		
3757	어때		Что вы думаете?		
3758	엘리베이터		Лифт		
3759	연구원		Исследователь		
3760	연애		Любовь, нежность, страсть		
3761	연휴		Последовательные праздники		
3764	월요일		Понедельник		
3765	위성		Спутник		
3766	의외로		неожиданно, удивительно		
3767	이모		Материнская тетя		
3768	자살		Самоубийство		
3769	제시		Презентация		
3771	조카		Племянник		
3772	주소		Адрес		
3774	철		Сталь		
3775	취직		Устройство на работу		
3776	타락		разврат, коррупция, деградация		
3777	통화		Валюта, блок обращения		
3778	틀림없이		Безошибочно		
3779	파티		Партия		
3780	회관		Актовый зал		
3782	공연장		Зрительный зал		
3783	국적		Национальность или гражданство		
3784	근래		В последнее время или недавно		
3786	낱말		Слово		
3787	내외		Мужчина и женщина, муж и жена		
3788	냄비		Горшок		
3789	늑대		Волк		
3794	망원경		Телескоп		
3795	모범		Модель, пример		
3799	뱀		Змея		
3800	벌		Набор одежды		
3802	상류		Высшие классы, самый вверх		
3803	석		Три (напр. 3 месяца)		
3806	성공적		Успешно		
3807	소규모		Малый масштаб		
3808	수시로		"По требованию, при случае; все время, в любое время"		
3809	시야		Поле зрения		
3811	아니야		Нет		
3812	어느덧		До того, когда кто-нибудь узнает		
3814	왕자		Принц		
3816	유명		слава, статус знаменитости		
3817	유형		Подобный тип		
3818	으레		обычно, привычно		
3819	일상적		Ежедневно, повседневно		
3820	일일이		Один за другим, по отдельности		
3822	전후		Последовательность, порядок		
3823	정상		нормализация, нормальность		
3824	정상적		нормально, как обычно,		
3825	질적		Качественный		
3826	척		Появиться, выглядеть, как		
3827	철		Время года		
3829	충격적		Шокирующий		
3830	치아		Зуб		
3831	편의		Удобство, целесообразность		
3832	폐지		Отмена, неиспользование		
3833	해설		Объяснение, выяснение		
3834	헌		Старый, потертый, изношенный		
3835	흑백		Черное и белое		
3836	희생		Жертва		
3839	강도		Грабитель		
3840	경비		Расходы, затраты		
3841	경제력		Экономическая власть		
3844	깊숙이		Глубоко, далеко		
3845	꿀		Мед или нектар		
3849	담당자		Сотрудник		
3850	답변		Ответ		
3851	대비		Предоставление, подготовка		
3852	대체		Наброски, резюме		
3853	더욱더		Все больше и больше и больше		
3854	도심		Сердце города		
3855	마찰		Потертость, износ		
3856	마크		Логотип компании		
3857	만족		Удовлетворение		
3859	메뉴		Меню		
3860	모금		Зарабатывание денег		
3861	묘사		Описание		
3862	문화적		Культурный		
3864	미혼		Незамужняя		
3866	방송사		Телекомпания		
3868	사표		Заявление об отставке		
3870	생방송		В прямом эфире		
3871	셋째		Третий		
3872	소홀히		небрежно, равнодушно, пренебрежительно		
3873	손발		"Рука и нога; конечности"		
3874	쌍둥이		Близнецы		
3877	영하		Ниже нуля		
3878	옆구리		Сторона, фланг		
3879	외교관		Дипломат		
3880	외국어		"Иностранный язык; иногда только английский"		
3883	으응		Тьфу!		
3884	이어서		Впоследствии		
3885	자장면		Черная китайская лапша		
3886	자정		Полночь		
3888	중학생		Ученик средней школы		
3890	참		В точке, когда		
3891	채		Домашний счетчик		
3892	최후		Наконец, конец, вывод		
3893	취재		Выбор, дайджест, выборка из новостных статей		
3894	테러		Террор		
3895	토론회		Дискуссионный клуб, дискуссионный конкурс		
3896	한잔		Ликер (алкогольный напиток)		
3897	호주머니		Карман		
3898	휴일		Выходной день, каникулы		
3899	가난		Бедный		
3900	가죽		Кожа		
3901	관계없이		Без какой-либо связи		
3902	군		Округ или район		
3904	다툼		Ссора		
3905	달력		Календарь		
3906	대		Один кусок		
3907	대낮		Средь бела дня		
3909	도자기		Фарфор		
3910	모조리		Один и все, полностью		
3911	변경		Изменение		
3912	부지런히		Старательно		
3913	사슴		Олень		
3914	삼촌		Дядя (как правило, с стороныотца) (외삼촌 - брата жены, дядя по матери)		
3915	상당수		много		
3916	소풍		Пикник		
3917	속옷		Нижнее белье		
3918	손목		Запястье		
3919	손실		Потеря		
3920	슬쩍		Тайно, потихоньку, украдкой		
3921	시나리오		Сценарий		
3922	신문지		Газета, бумага		
3923	실컷		Для чьего-то удовлетворения		
3925	엔진		Двигатель		
3926	용		Дракон		
3927	운행		Движение, революция		
3928	이대로		Как есть		
3929	인간성		Человеческая природа		
3930	인상적		Впечатляющий		
3932	전시		Выставка		
3934	주차장		Стоянка для машин		
3935	주한		Проживание в Корее		
3936	중년		Среднего возраста		
3938	찌꺼기		наркотики, отложения, остатки		
3940	테니스		Теннис		
3941	파리		Муха		
3942	포스터		Плакат		
3943	포함		включение, понимание		
3944	형식적		Формальные, относящиеся к форме		
3946	가이드		Руководство		
3948	감소		Снижение		
3950	고속도로		Автострада или шоссе, без уличных фонарей		
3951	공책		Блокнот для заметок и изучения		
3953	구입		Покупка		
3954	기여		Вклад, услуга		
3955	기호		Вкус или подобность		
3957	낭비		Отходы		
3958	내외		Интерьер и экстерьер		
3959	대략		"наброски, резюме; как правило, в целом"		
3961	도리어		Наоборот		
3963	멸치		Анчоус		
3964	바람		Желание, надежда		
3965	발목		Лодыжка		
3967	방울		Капля		
3968	배		Груша		
3969	벌		Пчела		
3970	보관		хранение, депозит		
3976	사상		В истории		
3977	사춘기		подростковый возраст, период полового созревания		
3978	상반기		Во-первых, верхняя половина		
3979	서점		Книжный магазин		
3980	선전		Пропаганда		
3982	수집		Коллекция		
3983	수필		Эссе		
3985	신비		Тайна		
3986	신설		Новая теория		
3987	실감		Фактическое чувство		
3988	실망		Разочарование		
3990	알루미늄		Алюминий		
3992	양말		Носок		
3993	여우		Лиса		
3994	와		Святая корова!		
3995	외출		Выход (действие)		
3996	용기		Контейнер, сосуд		
3997	웨이터		Официант		
4000	자가용		Для личного или семейного использования		
4002	점검		осмотр, обследование		
4003	정원		Сад		
4004	조기		Ранняя стадия, период		
4006	종		Колокольчик		
4007	종소리		Звук колокола		
4008	중순		Вторые 10 дней в месяц		
4009	지각		восприятие, сознание		
4010	직선		Прямая линия		
4011	참외		Дыня		
4015	총		Пушка		
4017	코치		Тренер, коуч		
4019	패션		Мода		
4020	프린터		Принтер		
4021	피디		PD (газетная статья)		
4022	하나하나		Каждая отдельная часть		
4023	학위		Ученое звание		
4024	회의		Сомнение, скептицизм		
4025	가로등		Уличный свет		
4026	감		Чувства		
4027	개개인		Персоны, индивидуалы, каждый человек		
4029	고집		Стойкость или упрямство		
4030	금		Золото		
4031	급격히		Быстрый или внезапный		
4032	기능		Возможность или способность или навык		
4035	낙엽		Опавшие мертвые листья		
4037	논리적		Логический		
4040	대접		Лечение		
4042	맞은편		Другая сторона этого		
4043	멋		Ловкость		
4044	면		Хлопок		
4045	박		Пребывание на ночь, ночлег		
4046	밤하늘		Ночное небо		
4047	변명		Объяснение, доказательство		
4048	보자기		Ткань		
4049	부상		Ранения, травмы		
4053	상관없이		Ничего не сделать с		
4054	새우		омары, креветки		
4055	선원		Экипаж, компания корабля		
4056	설사		Диарея		
4059	씨름		Борьба		
4060	아쉬움		Чувство отсутствия, чувство потери		
4061	앞길		Дорога впереди, перспективы		
4063	어젯밤		Вчера вечером		
4064	엉망		Беспорядок, в плохом состоянии		
4065	여관		Отель, гостиница		
4070	영웅		Герой, великий человек		
4071	오		О, ах!		
4072	유산		Наследование, имущество, остаток		
4073	의도적		Целенаправленно		
4074	이따금		Время от времени		
4075	임신부		Будущая мама		
4076	장기적		Долгосрочная		
4077	재주		способности, талант		
4078	전설		Традиции, легенды		
4079	절		пункт, параграф		
4080	젖		Грудь		
4083	주사		Выстрел, инъекция		
4085	짐작		предположение, гипотеза		
4088	채널		Канал		
4091	취업		Работа, поиск работы		
4094	탁		"С треском; широко"		
4095	평		Критика		
4097	표시		Знак, сигнал		
4099	하반기		Вторая половина года		
4100	한구석		Угол, закуток, нычка		
4102	해답		Решение проблемы, ответ на вопрос		
4107	흥분		волнение, возбуждение		
4110	감수성		Восприимчивость		
4112	건너편		Противоположная сторона		
4113	경치		Сцена или пейзаж		
4114	급속히		Быстро		
4119	단순		Простота		
4120	대사		Посол		
4121	두세		Два или три (месяцев)		
4122	매		кнут, стержень, тростника		
4125	면담		Интервью		
4126	모집		Коллекция		
4127	모퉁이		Угол		
4128	바구니		Корзина		
4129	바싹		Полностью		
4131	발음		Произношение		
4132	방울		Колокольчик		
4133	보름		15дней, 15-й день		
4134	봉지		Мешок		
4136	비상		Аварийный, неотложный		
4137	비서		Секретарь		
4139	사업자		Бизнесмен		
4140	상대편		Другая сторона		
4141	세트		Набор, множество		
4142	소망		желание, желание, надежда		
4143	수동적		Пассивно		
4144	술잔		Бокал для алкоголя		
4145	슬그머니		Украдкой		
4146	시장		Мэр		
4147	시청률		Рейтинг популярности		
4148	신문사		Газетная компания		
4149	여군		Женщина-солдат		
4150	연인		Возлюбленная		
4151	연장		Расширение, продление		
4152	열흘		Десять дней		
4153	예선		Предварительный матч, предварительные выборы		
4154	옥수수		Кукуруза		
4155	원		Круг		
4156	은행나무		дерево Гинко		
4157	이웃집		Дом соседа		
4158	자부심		Гордость		
4159	장차		В будущем, когда-нибудь		
4161	저편		Эта сторона, направление		
4162	정신과		Психиатрия		
4163	제도적		Систематическое		
4164	조절		регулирование, регулировка		
4165	주거		проживания, жилища		
